game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_range,team_id,team_name,opponent,shot_id,shot_made_flag
41,20000936,33.9303,132,114,-118.1378,6,1,0,2000-01,57,17,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,DET,1335,1.0
207,21000610,33.9623,-2,82,-118.2718,3,2,0,2010-11,41,8,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,OKC,17257,0.0
230,20600598,33.8913,133,153,-118.1368,11,3,0,2006-07,47,20,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,NOP,10437,1.0
414,29800452,34.0443,0,0,-118.2698,0,4,0,1998-99,18,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHX,24767,0.0
489,41000231,33.8093,102,235,-118.1678,0,4,1,2010-11,2,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,DAL,29675,0.0
321,20900045,34.0443,0,0,-118.2698,6,3,0,2009-10,17,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,ATL,14930,1.0
284,21000420,34.0353,89,9,-118.1808,7,3,0,2010-11,34,8,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,MIL,16996,1.0
314,20900458,34.0443,0,0,-118.2698,6,3,0,2009-10,59,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,15574,0.0
7,21100567,33.9893,-161,55,-118.4308,10,1,0,2011-12,34,17,2PT Field Goal,Left Side(L),16-24 ft.,1610612747,Los Angeles Lakers,DET,18951,0.0
239,20700259,33.8353,123,209,-118.1468,1,2,0,2007-08,3,24,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,MIN,11813,0.0
232,21000621,34.0273,6,17,-118.2638,7,3,0,2010-11,27,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DAL,17275,1.0
198,29901025,34.0473,-1,-3,-118.2708,2,2,0,1999-00,46,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,VAN,26013,1.0
385,29701137,34.0443,0,0,-118.2698,8,4,0,1997-98,38,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,SAS,24193,1.0
484,20500563,33.9043,212,140,-118.0578,3,5,0,2005-06,10,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,SAC,8531,0.0
98,29700450,34.0493,141,-5,-118.1288,3,1,0,1997-98,46,14,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,PHI,23702,0.0
46,21000420,33.9253,141,119,-118.1288,5,1,0,2010-11,27,18,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,MIL,16990,0.0
85,41000156,33.9753,-130,69,-118.3998,3,1,1,2010-11,27,14,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,NOH,29635,1.0
106,20300298,34.0393,-26,5,-118.2958,4,1,0,2003-04,21,2,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,NYK,5329,0.0
119,29700896,33.8243,126,220,-118.1438,1,1,0,1997-98,39,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,POR,24029,0.0
124,21200555,33.9323,181,112,-118.0888,0,1,0,2012-13,1,21,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,CLE,20209,0.0
112,20000230,34.0443,0,0,-118.2698,0,1,0,2000-01,7,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,SAS,343,0.0
161,29600985,34.0443,0,0,-118.2698,7,2,0,1996-97,48,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,ORL,23220,1.0
239,20700843,33.9113,123,133,-118.1468,10,3,0,2007-08,0,18,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,POR,12607,0.0
200,29900327,33.8933,121,151,-118.1488,1,2,0,1999-00,55,19,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,MIN,25170,0.0
172,20501229,33.8473,-191,197,-118.4608,6,2,0,2005-06,0,27,3PT Field Goal,Left Side Center(LC),24+ ft.,1610612747,Los Angeles Lakers,NOP,9690,1.0
78,20401118,34.0323,117,12,-118.1528,5,1,0,2004-05,27,11,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,HOU,7402,0.0
541,21400248,33.9403,4,104,-118.2658,0,4,0,2014-15,55,10,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,TOR,21463,0.0
246,29901159,33.8823,100,162,-118.1698,10,3,0,1999-00,47,19,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,MIN,26146,1.0
434,40800405,33.9073,105,137,-118.1648,6,4,1,2008-09,23,17,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,ORL,29028,0.0
336,20200292,33.9963,84,48,-118.1858,6,3,0,2002-03,31,9,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,UTA,3600,1.0
78,21200888,34.0053,100,39,-118.1698,2,1,0,2012-13,42,10,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,ATL,20624,0.0
303,20901099,33.9473,116,97,-118.1538,5,3,0,2009-10,36,15,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,NOH,16337,0.0
347,41100233,34.0493,-169,-5,-118.4388,3,3,1,2011-12,45,16,2PT Field Goal,Left Side(L),16-24 ft.,1610612747,Los Angeles Lakers,OKC,29958,0.0
